Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e03c3db92d5c1291,"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어 안양 동안구,"연봉 40,000,000원 - 50,000,000원","mindhub.aiJob Description◎ 채용제목백엔드 개발자 채용◎ 자격요건- Node.js 또는 python 개발자- React.js, Vue.js, Flask, Django 중 1가지 경험자- REST-API..."
https://kr.indeed.com/viewjob?jk=d2ecaccb26cd4a37,신경망 연구 개발자,에스알유니버스 서울 마포구,"연봉 40,000,000원 - 50,000,000원","신입, 경력(연차무관)학력사항: 대학교(4년)졸업직무기술: 딥러닝, Python, TensorFlow, openCV[우대사항]전공계열: 공학계열... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=c130ad24ffc25b72,기술연구소 (AI연구 및 Python개발 / 드론 영상처리),선영종합엔지니어링 고양 덕양구,,어링 기술연구소 (AI연구 및 Python개발 / 드론 영상처리) 채용 4... 프로그래밍 ㆍBig Data 활용 및 Smart plant ㆍR 및 Python 기반 프로그램 개발 ㆍ정부출연사업 제안서 작성 [근무부서 및 직급...
https://kr.indeed.com/viewjob?jk=cd68968d43fee4d9,[Amazon] Data Center Operations Engineer,아마존웹서비시즈코리아 서울 강남구,,"CCENT / CCNA, 네트워크 +· 2년 이상의 서버 하드웨어 문제 해결 경험· 스크립팅 기술 - Bash, Python, Perl 등 보유자· 프로젝트 관리 경험· 유창한 한국어/영어 커뮤니케이션 능력 보유자아마존은..."
https://kr.indeed.com/viewjob?jk=e5448ffc7d6ecf02,FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스 성남 분당구,"연봉 40,000,000원 - 100,000,000원","사용 경험(Chip Scope/SignalTap) - Language: Python/Perl, C/C++ - Vivado 또는 Synplify 또는... SignalTap) - Language: Python/Perl, C/C++..."
https://kr.indeed.com/viewjob?jk=508842f94e68d789,시스템 엔지니어,한국쓰리엠 5.0 전라남도,,"엔지니어 모집부문 및 자격요건 담당업무 자격요건 근무지 [담당업무]공장제어 시스템 운영 및 개발 C#, Python, or Java 중 1개 이상 활용 가능자 [자격요건]경력사항: 신입, 경력(5년 이상 )학력사항: 대학교..."
https://kr.indeed.com/viewjob?jk=8c8c96a3ffac77f8,데이터 엔지니어 경력 정규직,아이디케이스퀘어드 서울 중구,"연봉 60,000,000원 - 70,000,000원","Redshift, Snowflake 등) 설계, 개발, 운영 경험• Python/R/dbt, Kafka/Airflow 등을 사용하여 데이터 전처리를... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=3ed0cc50114bc7a0,GEDP,GE Appliances 경기도 성남,,using C programming language Scripting languages like Lua/ Python/JavaScript may also be used if needed Support connected...
https://kr.indeed.com/viewjob?jk=f39f8695610d4d2f,Virtual Robotics Simulation Engineer,LG전자 3.8 서울 서초구,,"C/C++, Software Design, Debugging Skills - 스크립트 언어 개발 경험 ( Python, Bash, etc) 3. 우대사항 - ROS2 환경 개발 경험 - Unreal Engine, Unity..."
https://kr.indeed.com/viewjob?jk=c6cbe4d8dd9afcb1,사내 및 서비스 보안 담당자 (경력),네오위즈 대한민국,,"있는 분 - IDS / IPS 패턴 분석 및 Rule 개발 경력이 있는 분 - 각종 스크립트 언어(Perl, Python, shell script 등)의 활용 능력을 갖춘 분 모집기간 채용시 마감 고용형태 정규직"
